method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
aqf_full,demographic,12,1.0,1.0,0,SUPPORTED
aqf_full,diagnosis_oriented,10,0.4,0.6166666666666667,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_full,general_clinical,5,1.0,1.0,0,SUPPORTED
aqf_full,temporal,7,1.0,1.0,0,SUPPORTED
aqf_full,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,demographic,12,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,diagnosis_oriented,10,0.4,0.6166666666666667,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,general_clinical,5,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,temporal,7,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,demographic,12,1.0,1.0,0,SUPPORTED
flattened_topk,diagnosis_oriented,10,0.4,0.6166666666666667,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,general_clinical,5,1.0,1.0,0,SUPPORTED
flattened_topk,temporal,7,1.0,1.0,0,SUPPORTED
flattened_topk,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,demographic,12,1.0,1.0,0,SUPPORTED
frequency_only,diagnosis_oriented,10,0.4,0.6166666666666667,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,general_clinical,5,1.0,1.0,0,SUPPORTED
frequency_only,temporal,7,1.0,1.0,0,SUPPORTED
frequency_only,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,demographic,12,1.0,1.0,0,SUPPORTED
no_operator_awareness,diagnosis_oriented,10,0.4,0.6166666666666667,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,general_clinical,5,1.0,1.0,0,SUPPORTED
no_operator_awareness,temporal,7,1.0,1.0,0,SUPPORTED
no_operator_awareness,treatment_procedure,8,0.125,0.2375,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_pruning,demographic,12,1.0,1.0,0,SUPPORTED
no_pruning,diagnosis_oriented,10,1.0,1.0,0,SUPPORTED
no_pruning,general_clinical,6,1.0,1.0,0,SUPPORTED
no_pruning,temporal,7,1.0,1.0,0,SUPPORTED
no_pruning,treatment_procedure,7,0.7142857142857143,0.7142857142857143,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,demographic,12,0.4166666666666667,0.5873015873015873,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,diagnosis_oriented,10,0.7,0.8547619047619047,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,general_clinical,6,0.16666666666666666,0.16666666666666666,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,temporal,7,0.0,0.15714285714285717,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,treatment_procedure,7,0.2857142857142857,0.5602040816326531,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_10,demographic,12,0.16666666666666666,0.34960317460317464,10,ABSENT_OR_PRUNED_OR_MATCH_FAILED
