method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,combo_id,complexity_budget,theta,lambda_sc,mu
aqf_full,30,7,11,6,0.0,30.0,166,166,0,154.25,7.094433680367184,42,0.8095238095238095,0.8373015873015872,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
aqf_topk_no_threshold,30,7,11,6,0.0,30.0,166,166,0,154.25,7.094433680367184,42,0.8095238095238095,0.8373015873015872,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
frequency_only,30,7,11,6,0.0,30.0,157,157,0,142.5,6.76110034703385,42,0.8809523809523809,0.9068027210884354,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
flattened_topk,30,1,1,6,0.0,30.0,166,166,0,154.25,7.094433680367184,42,0.8095238095238095,0.8373015873015872,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
no_operator_awareness,30,7,11,6,0.0,30.0,330,166,164,360.0,7.094433680367184,42,0.8095238095238095,0.8373015873015872,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
no_pruning,35,7,12,6,0.0,35.0,187,187,0,172.5,7.2796188655523695,42,0.9523809523809524,0.9523809523809524,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_1,30,7,11,6,0.0,30.0,157,157,0,145.0,6.613830547590139,42,0.5714285714285714,0.7649659863945578,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_2,30,7,12,6,0.0,30.0,160,160,0,148.0,5.835174421107925,42,0.7857142857142857,0.8524943310657596,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_3,30,7,11,6,0.0,30.0,162,162,0,150.25,6.855376441309945,42,0.7142857142857143,0.8082766439909298,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_4,30,7,12,6,0.0,30.0,161,161,0,149.0,6.557469839055517,42,0.7619047619047619,0.8638321995464852,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_5,30,6,11,6,0.0,30.0,157,157,0,143.0,5.5977016542233935,42,0.7857142857142857,0.873639455782313,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_6,30,7,12,6,0.0,30.0,159,159,0,145.75,4.724063309996814,42,0.6428571428571429,0.7827097505668935,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_7,30,7,11,6,0.0,30.0,163,163,0,150.75,6.02035960629311,42,0.7619047619047619,0.819047619047619,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_8,30,7,12,6,0.0,30.0,157,157,0,143.5,5.687026272959777,42,0.7142857142857143,0.8341836734693877,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_9,30,7,11,6,0.0,30.0,163,163,0,151.25,6.077598663532167,42,0.8571428571428571,0.8944444444444445,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_10,30,7,11,6,0.0,30.0,161,161,0,149.0,6.801504387437891,42,0.7380952380952381,0.8252834467120183,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_11,30,7,12,6,0.0,30.0,163,163,0,151.75,6.673558259491763,42,0.5,0.7093537414965987,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_12,30,7,12,6,0.0,30.0,161,161,0,149.0,5.738204724138228,42,0.6904761904761905,0.7658730158730158,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_13,30,7,12,6,0.0,30.0,161,161,0,149.0,6.7105952965288,42,0.6428571428571429,0.7869614512471654,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
random_topk_14,30,7,10,6,0.0,30.0,163,163,0,150.75,6.835174421107925,42,0.8095238095238095,0.8733560090702949,combo_0001_c30_t0_l0_mu0_e0,30.0,0.0,0.0,0.0
