method,avg_strict_coverage,avg_partial_coverage,avg_final_complexity,avg_operator_count
aqf_full,0.7226190476190476,0.7743424036281179,29.925,136.4
aqf_topk_no_threshold,0.7226190476190476,0.7743424036281179,29.925,136.4
flattened_topk,0.7226190476190476,0.7743424036281179,29.925,136.4
frequency_only,0.7619047619047619,0.8192290249433107,29.9,133.2
no_operator_awareness,0.7226190476190476,0.7743424036281179,29.925,272.25
no_pruning,0.9523809523809523,0.9523809523809523,41.0,187.0
random_topk_1,0.4523809523809524,0.5958503401360544,30.0,125.0
random_topk_10,0.4809523809523809,0.6270408163265306,30.0,128.2
random_topk_11,0.32380952380952377,0.4987755102040817,30.0,130.2
random_topk_12,0.4809523809523809,0.6243877551020407,30.0,129.0
random_topk_13,0.480952380952381,0.6605668934240363,30.0,129.0
random_topk_14,0.5952380952380952,0.7122902494331066,30.0,133.6
random_topk_15,0.4333333333333333,0.6460997732426303,30.0,129.8
random_topk_16,0.5952380952380952,0.7775283446712018,30.0,135.0
random_topk_17,0.5285714285714286,0.6704081632653061,29.8,135.0
random_topk_18,0.4714285714285714,0.6379931972789116,30.0,126.6
random_topk_19,0.6142857142857143,0.7687528344671202,30.0,125.4
random_topk_2,0.6,0.754501133786848,30.0,127.2
random_topk_20,0.7095238095238094,0.7931972789115647,30.0,134.0
random_topk_21,0.45714285714285713,0.6538775510204082,30.0,125.2
random_topk_22,0.5952380952380952,0.7558276643990929,30.0,124.2
random_topk_23,0.35238095238095235,0.5708956916099773,30.0,126.6
random_topk_24,0.5571428571428572,0.6886281179138323,30.0,125.4
random_topk_25,0.4238095238095238,0.6232653061224489,30.0,129.4
random_topk_26,0.38095238095238093,0.5832086167800454,30.0,126.6
random_topk_27,0.5,0.6508049886621315,30.0,131.4
random_topk_28,0.6095238095238095,0.7491043083900226,30.0,133.0
random_topk_29,0.4809523809523809,0.6157482993197279,30.0,123.8
random_topk_3,0.4523809523809524,0.6412358276643991,30.0,130.0
random_topk_30,0.5666666666666667,0.7082879818594104,30.0,131.4
random_topk_4,0.5619047619047619,0.712108843537415,30.0,127.0
random_topk_5,0.519047619047619,0.7045804988662132,30.0,123.4
random_topk_6,0.45714285714285713,0.6196825396825397,30.0,126.6
random_topk_7,0.5428571428571429,0.665907029478458,30.0,128.6
random_topk_8,0.5238095238095238,0.698219954648526,30.0,124.6
random_topk_9,0.680952380952381,0.7657256235827664,30.0,130.4
