comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.9629629629629629,0.9814814814814815,-0.0185185185185186,-1.886792452830197
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.9629629629629629,0.9814814814814815,-0.0185185185185186,-1.886792452830197
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,52.0,54.0,-2.0,-3.7037037037037033
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,276.0,285.0,-9.0,-3.1578947368421053
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,58.0,60.0,-2.0,-3.3333333333333335
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,254.25,262.25,-8.0,-3.0505243088655862
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.9629629629629629,0.9629629629629629,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.9629629629629629,0.9629629629629629,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,52.0,52.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,276.0,572.0,-296.0,-51.74825174825175
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,58.0,58.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,254.25,624.0,-369.75,-59.254807692307686
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,296.0,-296.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.9629629629629629,0.9814814814814815,-0.0185185185185186,-1.886792452830197
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.9629629629629629,0.9814814814814815,-0.0185185185185186,-1.886792452830197
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,52.0,52.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,276.0,273.0,3.0,1.098901098901099
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,58.0,58.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,254.25,250.25,4.0,1.5984015984015985
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.9629629629629629,0.9629629629629629,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.9629629629629629,0.9629629629629629,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,52.0,52.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,276.0,276.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,58.0,58.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,254.25,254.25,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
