method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
aqf_full,demographic,12,1.0,1.0,0,SUPPORTED
aqf_full,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
aqf_full,general_clinical,6,1.0,1.0,0,SUPPORTED
aqf_full,hospitalisation,11,1.0,1.0,0,SUPPORTED
aqf_full,temporal,7,1.0,1.0,0,SUPPORTED
aqf_full,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
aqf_topk_no_threshold,demographic,12,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,general_clinical,6,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,hospitalisation,11,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,temporal,7,1.0,1.0,0,SUPPORTED
aqf_topk_no_threshold,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
flattened_topk,demographic,12,1.0,1.0,0,SUPPORTED
flattened_topk,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
flattened_topk,general_clinical,6,1.0,1.0,0,SUPPORTED
flattened_topk,hospitalisation,11,1.0,1.0,0,SUPPORTED
flattened_topk,temporal,7,1.0,1.0,0,SUPPORTED
flattened_topk,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
frequency_only,demographic,12,1.0,1.0,0,SUPPORTED
frequency_only,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
frequency_only,general_clinical,6,1.0,1.0,0,SUPPORTED
frequency_only,hospitalisation,11,1.0,1.0,0,SUPPORTED
frequency_only,temporal,7,1.0,1.0,0,SUPPORTED
frequency_only,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_operator_awareness,demographic,12,1.0,1.0,0,SUPPORTED
no_operator_awareness,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
no_operator_awareness,general_clinical,6,1.0,1.0,0,SUPPORTED
no_operator_awareness,hospitalisation,11,1.0,1.0,0,SUPPORTED
no_operator_awareness,temporal,7,1.0,1.0,0,SUPPORTED
no_operator_awareness,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
no_pruning,demographic,12,1.0,1.0,0,SUPPORTED
no_pruning,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
no_pruning,general_clinical,6,1.0,1.0,0,SUPPORTED
no_pruning,hospitalisation,11,1.0,1.0,0,SUPPORTED
no_pruning,temporal,7,1.0,1.0,0,SUPPORTED
no_pruning,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_1,demographic,12,1.0,1.0,0,SUPPORTED
random_topk_1,diagnosis_oriented,11,1.0,1.0,0,SUPPORTED
random_topk_1,general_clinical,6,1.0,1.0,0,SUPPORTED
random_topk_1,hospitalisation,11,1.0,1.0,0,SUPPORTED
random_topk_1,temporal,7,1.0,1.0,0,SUPPORTED
random_topk_1,treatment_procedure,7,0.8571428571428571,0.8571428571428571,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
