method,field_count,form_group_count,subgroup_count,max_depth,avg_depth,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,ambiguous_label_resolution_rate
aqf_full,44,9,15,6,3.6818181818181817,1.0,1.0,5,0.8863636363636364
aqf_topk_no_threshold,44,9,15,6,3.6818181818181817,1.0,1.0,5,0.8863636363636364
frequency_only,44,9,14,6,3.6363636363636362,1.0,1.0,5,0.8863636363636364
flattened_topk,44,1,1,6,3.6818181818181817,0.0,1.0,5,0.8863636363636364
no_operator_awareness,44,9,15,6,3.6818181818181817,1.0,1.0,5,0.8863636363636364
no_pruning,54,11,19,6,3.7037037037037037,1.0,1.0,5,0.9074074074074074
random_topk_1,44,10,15,6,3.7045454545454546,1.0,1.0,4,0.9090909090909091
random_topk_2,44,11,19,6,3.727272727272727,1.0,1.0,5,0.8863636363636364
random_topk_3,44,10,18,6,3.6818181818181817,1.0,1.0,3,0.9318181818181819
random_topk_4,44,10,17,6,3.6136363636363638,1.0,1.0,4,0.9090909090909091
random_topk_5,44,10,17,6,3.75,1.0,1.0,3,0.9318181818181819
random_topk_6,44,10,18,6,3.7045454545454546,1.0,1.0,5,0.8863636363636364
random_topk_7,44,10,17,6,3.6363636363636362,1.0,1.0,4,0.9090909090909091
random_topk_8,44,10,17,6,3.7045454545454546,1.0,1.0,5,0.8863636363636364
random_topk_9,44,10,15,6,3.6818181818181817,1.0,1.0,4,0.9090909090909091
random_topk_10,44,9,16,6,3.727272727272727,1.0,1.0,3,0.9318181818181819
random_topk_11,44,10,17,6,3.6136363636363638,1.0,1.0,3,0.9318181818181819
random_topk_12,44,10,17,6,3.75,1.0,1.0,2,0.9545454545454546
random_topk_13,44,9,17,6,3.727272727272727,1.0,1.0,5,0.8863636363636364
random_topk_14,44,11,19,6,3.75,1.0,1.0,2,0.9545454545454546
random_topk_15,44,10,17,6,3.6363636363636362,1.0,1.0,2,0.9545454545454546
random_topk_16,44,8,15,6,3.6363636363636362,1.0,1.0,4,0.9090909090909091
random_topk_17,44,11,18,6,3.7045454545454546,1.0,1.0,3,0.9318181818181819
random_topk_18,44,10,17,6,3.659090909090909,1.0,1.0,3,0.9318181818181819
random_topk_19,44,10,16,6,3.6363636363636362,1.0,1.0,5,0.8863636363636364
random_topk_20,44,10,17,6,3.6818181818181817,1.0,1.0,3,0.9318181818181819
random_topk_21,44,10,17,6,3.6363636363636362,1.0,1.0,3,0.9318181818181819
random_topk_22,44,11,19,6,3.6818181818181817,1.0,1.0,3,0.9318181818181819
random_topk_23,44,11,17,6,3.6818181818181817,1.0,1.0,4,0.9090909090909091
random_topk_24,44,9,17,6,3.6818181818181817,1.0,1.0,4,0.9090909090909091
random_topk_25,44,10,16,6,3.6136363636363638,1.0,1.0,5,0.8863636363636364
random_topk_26,44,10,17,6,3.7045454545454546,1.0,1.0,5,0.8863636363636364
random_topk_27,44,9,16,6,3.727272727272727,1.0,1.0,3,0.9318181818181819
random_topk_28,44,11,18,6,3.727272727272727,1.0,1.0,4,0.9090909090909091
random_topk_29,44,10,17,6,3.6818181818181817,1.0,1.0,5,0.8863636363636364
random_topk_30,44,10,17,6,3.7045454545454546,1.0,1.0,2,0.9545454545454546
