method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility
aqf_full,44,9,15,6,1.0,50.0,234,234,0,214.5,49.73698948377199
aqf_topk_no_threshold,44,9,15,6,1.0,50.0,234,234,0,214.5,49.73698948377199
frequency_only,44,9,14,6,1.0,50.0,230,230,0,209.0,49.61005253850572
flattened_topk,44,1,1,6,1.0,50.0,234,234,0,214.5,49.73698948377199
no_operator_awareness,44,9,15,6,1.0,50.0,484,234,250,528.0,49.73698948377199
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,51.645750562610935
random_topk_1,44,10,15,6,1.0,50.0,231,231,0,212.5,41.58951714290448
random_topk_2,44,11,19,6,1.0,50.0,238,238,0,221.0,41.73923174860257
random_topk_3,44,10,18,6,1.0,50.0,229,229,0,208.75,41.786945532229296
random_topk_4,44,10,17,6,1.0,50.0,230,230,0,210.0,45.70622412582541
random_topk_5,44,10,17,6,1.0,50.0,231,231,0,211.5,39.549416561989204
random_topk_6,44,10,18,6,1.0,50.0,236,236,0,218.5,45.845138429656096
random_topk_7,44,10,17,6,1.0,50.0,233,233,0,215.25,43.25468273916487
random_topk_8,44,10,17,6,1.0,50.0,227,227,0,207.0,42.32394685494968
random_topk_9,44,10,15,6,1.0,50.0,235,235,0,216.0,44.17337377830271
random_topk_10,44,9,16,6,1.0,50.0,232,232,0,213.25,43.082124738590565
random_topk_11,44,10,17,6,1.0,50.0,233,233,0,214.75,44.51326259727127
random_topk_12,44,10,17,6,1.0,50.0,240,240,0,222.75,42.826437383222505
random_topk_13,44,9,17,6,1.0,50.0,227,227,0,206.5,46.027701096457896
random_topk_14,44,11,19,6,1.0,50.0,231,231,0,212.5,39.908992314936086
random_topk_15,44,10,17,6,1.0,50.0,229,229,0,208.75,41.163249237697926
random_topk_16,44,8,15,6,1.0,50.0,229,229,0,209.25,43.8070880620912
random_topk_17,44,11,18,6,1.0,50.0,225,225,0,205.25,39.85671424334677
random_topk_18,44,10,17,6,1.0,50.0,232,232,0,213.75,41.41136347881959
random_topk_19,44,10,16,6,1.0,50.0,236,236,0,218.5,45.77556576668408
random_topk_20,44,10,17,6,1.0,50.0,225,225,0,206.25,41.71744361303413
random_topk_21,44,10,17,6,1.0,50.0,231,231,0,212.25,44.14713834950353
random_topk_22,44,11,19,6,1.0,50.0,228,228,0,208.25,43.49132303019584
random_topk_23,44,11,17,6,1.0,50.0,237,237,0,219.25,42.40691870507558
random_topk_24,44,9,17,6,1.0,50.0,228,228,0,207.75,43.42912867256304
random_topk_25,44,10,16,6,1.0,50.0,230,230,0,210.5,45.59721483551751
random_topk_26,44,10,17,6,1.0,50.0,236,236,0,217.25,44.46737868376978
random_topk_27,44,9,16,6,1.0,50.0,230,230,0,210.0,42.141203849743256
random_topk_28,44,11,18,6,1.0,50.0,227,227,0,208.0,41.795814585184885
random_topk_29,44,10,17,6,1.0,50.0,234,234,0,216.0,43.88578241939916
random_topk_30,44,10,17,6,1.0,50.0,234,234,0,216.0,42.20306921072703
