method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage
aqf_full,44,9,15,6,1.0,50.0,234,234,0,214.5,49.73698948377199,54,0.9074074074074074,0.9074074074074074
aqf_topk_no_threshold,44,9,15,6,1.0,50.0,234,234,0,214.5,49.73698948377199,54,0.9074074074074074,0.9074074074074074
frequency_only,44,9,14,6,1.0,50.0,230,230,0,209.0,49.61005253850572,54,0.8888888888888888,0.8962962962962963
flattened_topk,44,1,1,6,1.0,50.0,234,234,0,214.5,49.73698948377199,54,0.9074074074074074,0.9074074074074074
no_operator_awareness,44,9,15,6,1.0,50.0,484,234,250,528.0,49.73698948377199,54,0.9074074074074074,0.9074074074074074
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,51.645750562610935,54,0.9814814814814815,0.9814814814814815
random_topk_1,44,10,15,6,1.0,50.0,231,231,0,212.5,41.58951714290448,54,0.6481481481481481,0.7815402704291593
random_topk_2,44,11,19,6,1.0,50.0,238,238,0,221.0,41.73923174860257,54,0.6851851851851852,0.8174309229864785
random_topk_3,44,10,18,6,1.0,50.0,229,229,0,208.75,41.786945532229296,54,0.6851851851851852,0.8267195767195767
random_topk_4,44,10,17,6,1.0,50.0,230,230,0,210.0,45.70622412582541,54,0.6296296296296297,0.7645943562610229
random_topk_5,44,10,17,6,1.0,50.0,231,231,0,211.5,39.549416561989204,54,0.7037037037037037,0.8228835978835979
random_topk_6,44,10,18,6,1.0,50.0,236,236,0,218.5,45.845138429656096,54,0.6851851851851852,0.8133156966490299
random_topk_7,44,10,17,6,1.0,50.0,233,233,0,215.25,43.25468273916487,54,0.7407407407407407,0.8526748971193415
random_topk_8,44,10,17,6,1.0,50.0,227,227,0,207.0,42.32394685494968,54,0.6851851851851852,0.8211199294532627
random_topk_9,44,10,15,6,1.0,50.0,235,235,0,216.0,44.17337377830271,54,0.8148148148148148,0.8728395061728395
random_topk_10,44,9,16,6,1.0,50.0,232,232,0,213.25,43.082124738590565,54,0.7222222222222222,0.8331863609641388
random_topk_11,44,10,17,6,1.0,50.0,233,233,0,214.75,44.51326259727127,54,0.8703703703703703,0.9218694885361551
random_topk_12,44,10,17,6,1.0,50.0,240,240,0,222.75,42.826437383222505,54,0.8148148148148148,0.8731040564373898
random_topk_13,44,9,17,6,1.0,50.0,227,227,0,206.5,46.027701096457896,54,0.8518518518518519,0.9263080540858318
random_topk_14,44,11,19,6,1.0,50.0,231,231,0,212.5,39.908992314936086,54,0.7592592592592593,0.7852733686067019
random_topk_15,44,10,17,6,1.0,50.0,229,229,0,208.75,41.163249237697926,54,0.8333333333333334,0.9085831863609641
random_topk_16,44,8,15,6,1.0,50.0,229,229,0,209.25,43.8070880620912,54,0.7222222222222222,0.8601998824221047
random_topk_17,44,11,18,6,1.0,50.0,225,225,0,205.25,39.85671424334677,54,0.8703703703703703,0.9205467372134039
random_topk_18,44,10,17,6,1.0,50.0,232,232,0,213.75,41.41136347881959,54,0.6296296296296297,0.8047325102880658
random_topk_19,44,10,16,6,1.0,50.0,236,236,0,218.5,45.77556576668408,54,0.7962962962962963,0.8692827748383304
random_topk_20,44,10,17,6,1.0,50.0,225,225,0,206.25,41.71744361303413,54,0.5740740740740741,0.7562022339800117
random_topk_21,44,10,17,6,1.0,50.0,231,231,0,212.25,44.14713834950353,54,0.7222222222222222,0.8414315108759554
random_topk_22,44,11,19,6,1.0,50.0,228,228,0,208.25,43.49132303019584,54,0.5740740740740741,0.7761169900058789
random_topk_23,44,11,17,6,1.0,50.0,237,237,0,219.25,42.40691870507558,54,0.6296296296296297,0.778453850676073
random_topk_24,44,9,17,6,1.0,50.0,228,228,0,207.75,43.42912867256304,54,0.7407407407407407,0.8595532039976485
random_topk_25,44,10,16,6,1.0,50.0,230,230,0,210.5,45.59721483551751,54,0.6481481481481481,0.7969870664315108
random_topk_26,44,10,17,6,1.0,50.0,236,236,0,217.25,44.46737868376978,54,0.5555555555555556,0.7262933568489124
random_topk_27,44,9,16,6,1.0,50.0,230,230,0,210.0,42.141203849743256,54,0.7037037037037037,0.8231628453850676
random_topk_28,44,11,18,6,1.0,50.0,227,227,0,208.0,41.795814585184885,54,0.7222222222222222,0.8368753674309231
random_topk_29,44,10,17,6,1.0,50.0,234,234,0,216.0,43.88578241939916,54,0.7777777777777778,0.872986478542034
random_topk_30,44,10,17,6,1.0,50.0,234,234,0,216.0,42.20306921072703,54,0.8148148148148148,0.8823633156966489
