method,field_count,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden
aqf_full,44,234,234,0,214.5
aqf_topk_no_threshold,44,234,234,0,214.5
flattened_topk,44,234,234,0,214.5
frequency_only,44,230,230,0,209.0
no_operator_awareness,44,484,234,250,528.0
no_pruning,54,285,285,0,262.25
random_topk_1,44,231,231,0,212.5
random_topk_10,44,232,232,0,213.25
random_topk_11,44,233,233,0,214.75
random_topk_12,44,240,240,0,222.75
random_topk_13,44,227,227,0,206.5
random_topk_14,44,231,231,0,212.5
random_topk_15,44,229,229,0,208.75
random_topk_16,44,229,229,0,209.25
random_topk_17,44,225,225,0,205.25
random_topk_18,44,232,232,0,213.75
random_topk_19,44,236,236,0,218.5
random_topk_2,44,238,238,0,221.0
random_topk_20,44,225,225,0,206.25
random_topk_21,44,231,231,0,212.25
random_topk_22,44,228,228,0,208.25
random_topk_23,44,237,237,0,219.25
random_topk_24,44,228,228,0,207.75
random_topk_25,44,230,230,0,210.5
random_topk_26,44,236,236,0,217.25
random_topk_27,44,230,230,0,210.0
random_topk_28,44,227,227,0,208.0
random_topk_29,44,234,234,0,216.0
random_topk_3,44,229,229,0,208.75
random_topk_30,44,234,234,0,216.0
random_topk_4,44,230,230,0,210.0
random_topk_5,44,231,231,0,211.5
random_topk_6,44,236,236,0,218.5
random_topk_7,44,233,233,0,215.25
random_topk_8,44,227,227,0,207.0
random_topk_9,44,235,235,0,216.0
