method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,form_complexity_elements,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,form_utility,query_count,strict_coverage,partial_coverage,field_efficiency,operator_efficiency,weighted_operator_efficiency,complexity_efficiency,used_field_count,unused_field_count,redundancy_ratio,pareto_optimal
aqf_full,44,9,15,6,1.0,50.0,44,234,234,0,214.5,1.0,1.0,5,49.73698948377199,54,0.9074074074074074,0.9074074074074074,0.020622895622895623,0.003877809433364989,0.004230337563670897,0.01814814814814815,35,9,0.20454545454545456,True
aqf_topk_no_threshold,44,9,15,6,1.0,50.0,44,234,234,0,214.5,1.0,1.0,5,49.73698948377199,54,0.9074074074074074,0.9074074074074074,0.020622895622895623,0.003877809433364989,0.004230337563670897,0.01814814814814815,35,9,0.20454545454545456,True
flattened_topk,44,1,1,6,1.0,50.0,44,234,234,0,214.5,0.0,1.0,5,49.73698948377199,54,0.9074074074074074,0.9074074074074074,0.020622895622895623,0.003877809433364989,0.004230337563670897,0.01814814814814815,35,9,0.20454545454545456,True
frequency_only,44,9,14,6,1.0,50.0,44,230,230,0,209.0,1.0,1.0,5,49.61005253850572,54,0.8888888888888888,0.8962962962962963,0.0202020202020202,0.003864734299516908,0.0042530568846358315,0.017777777777777778,34,10,0.22727272727272727,False
no_operator_awareness,44,9,15,6,1.0,50.0,44,484,234,250,528.0,1.0,1.0,5,49.73698948377199,54,0.9074074074074074,0.9074074074074074,0.020622895622895623,0.0018748086929905113,0.0017185746352413019,0.01814814814814815,35,9,0.20454545454545456,True
no_pruning,54,11,19,6,1.0,60.0,54,285,285,0,262.25,1.0,1.0,5,51.645750562610935,54,0.9814814814814816,0.9814814814814816,0.018175582990397808,0.0034437946718648476,0.0037425413974508355,0.01635802469135803,40,14,0.25925925925925924,True
random_topk_1,44,10,15,6,1.0,50.0,44,231,231,0,212.5,1.0,1.0,4,41.58951714290448,54,0.6481481481481481,0.7815402704291593,0.014730639730639731,0.0028058361391694723,0.0030501089324618735,0.012962962962962963,31,13,0.29545454545454547,False
random_topk_10,44,9,16,6,1.0,50.0,44,232,232,0,213.25,1.0,1.0,3,43.082124738590565,54,0.7222222222222222,0.8331863609641388,0.016414141414141412,0.0031130268199233715,0.0033867396118275367,0.014444444444444444,32,12,0.2727272727272727,False
random_topk_11,44,10,17,6,1.0,50.0,44,233,233,0,214.75,1.0,1.0,3,44.51326259727127,54,0.8703703703703703,0.9218694885361552,0.01978114478114478,0.0037354951518041644,0.004052947009873669,0.017407407407407406,35,9,0.20454545454545456,False
random_topk_12,44,10,17,6,1.0,50.0,44,240,240,0,222.75,1.0,1.0,2,42.826437383222505,54,0.8148148148148148,0.8731040564373898,0.018518518518518517,0.0033950617283950617,0.003657978966620942,0.016296296296296295,32,12,0.2727272727272727,False
random_topk_13,44,9,17,6,1.0,50.0,44,227,227,0,206.5,1.0,1.0,5,46.027701096457896,54,0.8518518518518519,0.9263080540858318,0.01936026936026936,0.003752651329743841,0.004125190565868532,0.017037037037037038,34,10,0.22727272727272727,False
random_topk_14,44,11,19,6,1.0,50.0,44,231,231,0,212.5,1.0,1.0,2,39.908992314936086,54,0.7592592592592593,0.7852733686067019,0.017255892255892257,0.0032868366201699536,0.003572984749455338,0.015185185185185185,33,11,0.25,False
random_topk_15,44,10,17,6,1.0,50.0,44,229,229,0,208.75,1.0,1.0,2,41.163249237697926,54,0.8333333333333334,0.908583186360964,0.01893939393939394,0.00363901018922853,0.003992015968063873,0.016666666666666666,31,13,0.29545454545454547,False
random_topk_16,44,8,15,6,1.0,50.0,44,229,229,0,209.25,1.0,1.0,4,43.8070880620912,54,0.7222222222222222,0.8601998824221047,0.016414141414141412,0.003153808830664726,0.0034514801539891147,0.014444444444444444,34,10,0.22727272727272727,False
random_topk_17,44,11,18,6,1.0,50.0,44,225,225,0,205.25,1.0,1.0,3,39.85671424334677,54,0.8703703703703703,0.920546737213404,0.01978114478114478,0.003868312757201646,0.004240537736274643,0.017407407407407406,35,9,0.20454545454545456,False
random_topk_18,44,10,17,6,1.0,50.0,44,232,232,0,213.75,1.0,1.0,3,41.41136347881959,54,0.6296296296296297,0.8047325102880658,0.01430976430976431,0.0027139208173690933,0.0029456356941737058,0.012592592592592593,31,13,0.29545454545454547,False
random_topk_19,44,10,16,6,1.0,50.0,44,236,236,0,218.5,1.0,1.0,5,45.77556576668408,54,0.7962962962962963,0.8692827748383304,0.0180976430976431,0.00337413684871312,0.0036443766420883126,0.015925925925925927,33,11,0.25,False
random_topk_2,44,11,19,6,1.0,50.0,44,238,238,0,221.0,1.0,1.0,5,41.73923174860257,54,0.6851851851851852,0.8174309229864785,0.015572390572390573,0.002878929349517585,0.00310038545332663,0.013703703703703704,33,11,0.25,False
random_topk_20,44,10,17,6,1.0,50.0,44,225,225,0,206.25,1.0,1.0,3,41.71744361303413,54,0.5740740740740741,0.7562022339800117,0.013047138047138047,0.002551440329218107,0.0027833894500561168,0.011481481481481481,32,12,0.2727272727272727,False
random_topk_21,44,10,17,6,1.0,50.0,44,231,231,0,212.25,1.0,1.0,3,44.14713834950353,54,0.7222222222222222,0.8414315108759554,0.016414141414141412,0.0031265031265031266,0.0034026959822012824,0.014444444444444444,33,11,0.25,False
random_topk_22,44,11,19,6,1.0,50.0,44,228,228,0,208.25,1.0,1.0,3,43.49132303019584,54,0.5740740740740741,0.7761169900058789,0.013047138047138047,0.0025178687459389212,0.002756658218843093,0.011481481481481481,31,13,0.29545454545454547,False
random_topk_23,44,11,17,6,1.0,50.0,44,237,237,0,219.25,1.0,1.0,4,42.40691870507558,54,0.6296296296296297,0.778453850676073,0.01430976430976431,0.002656665103922488,0.002871742894547912,0.012592592592592593,31,13,0.29545454545454547,False
random_topk_24,44,9,17,6,1.0,50.0,44,228,228,0,207.75,1.0,1.0,4,43.42912867256304,54,0.7407407407407407,0.8595532039976485,0.016835016835016835,0.003248862897985705,0.00356553906493738,0.014814814814814814,31,13,0.29545454545454547,False
random_topk_25,44,10,16,6,1.0,50.0,44,230,230,0,210.5,1.0,1.0,5,45.59721483551751,54,0.6481481481481481,0.7969870664315108,0.014730639730639731,0.002818035426731079,0.003079088589777426,0.012962962962962963,31,13,0.29545454545454547,False
random_topk_26,44,10,17,6,1.0,50.0,44,236,236,0,217.25,1.0,1.0,5,44.46737868376978,54,0.5555555555555556,0.7262933568489124,0.012626262626262626,0.002354048964218456,0.002557217747091165,0.011111111111111112,31,13,0.29545454545454547,False
random_topk_27,44,9,16,6,1.0,50.0,44,230,230,0,210.0,1.0,1.0,3,42.141203849743256,54,0.7037037037037037,0.8231628453850676,0.015993265993265993,0.003059581320450886,0.003350970017636684,0.014074074074074074,32,12,0.2727272727272727,False
random_topk_28,44,11,18,6,1.0,50.0,44,227,227,0,208.0,1.0,1.0,4,41.795814585184885,54,0.7222222222222222,0.8368753674309231,0.016414141414141412,0.0031815956926089083,0.003472222222222222,0.014444444444444444,32,12,0.2727272727272727,False
random_topk_29,44,10,17,6,1.0,50.0,44,234,234,0,216.0,1.0,1.0,5,43.88578241939916,54,0.7777777777777778,0.872986478542034,0.017676767676767676,0.0033238366571699905,0.00360082304526749,0.015555555555555555,32,12,0.2727272727272727,False
random_topk_3,44,10,18,6,1.0,50.0,44,229,229,0,208.75,1.0,1.0,3,41.786945532229296,54,0.6851851851851852,0.8267195767195767,0.015572390572390573,0.0029920750444767915,0.003282324240408073,0.013703703703703704,32,12,0.2727272727272727,False
random_topk_30,44,10,17,6,1.0,50.0,44,234,234,0,216.0,1.0,1.0,2,42.20306921072703,54,0.8148148148148148,0.8823633156966489,0.018518518518518517,0.003482114593225704,0.0037722908093278463,0.016296296296296295,34,10,0.22727272727272727,False
