method,field_count,used_field_count,unused_field_count,redundancy_ratio
aqf_full,44,35,9,0.20454545454545456
aqf_topk_no_threshold,44,35,9,0.20454545454545456
flattened_topk,44,35,9,0.20454545454545456
frequency_only,44,34,10,0.22727272727272727
no_operator_awareness,44,35,9,0.20454545454545456
no_pruning,54,40,14,0.25925925925925924
random_topk_1,44,31,13,0.29545454545454547
random_topk_10,44,32,12,0.2727272727272727
random_topk_11,44,35,9,0.20454545454545456
random_topk_12,44,32,12,0.2727272727272727
random_topk_13,44,34,10,0.22727272727272727
random_topk_14,44,33,11,0.25
random_topk_15,44,31,13,0.29545454545454547
random_topk_16,44,34,10,0.22727272727272727
random_topk_17,44,35,9,0.20454545454545456
random_topk_18,44,31,13,0.29545454545454547
random_topk_19,44,33,11,0.25
random_topk_2,44,33,11,0.25
random_topk_20,44,32,12,0.2727272727272727
random_topk_21,44,33,11,0.25
random_topk_22,44,31,13,0.29545454545454547
random_topk_23,44,31,13,0.29545454545454547
random_topk_24,44,31,13,0.29545454545454547
random_topk_25,44,31,13,0.29545454545454547
random_topk_26,44,31,13,0.29545454545454547
random_topk_27,44,32,12,0.2727272727272727
random_topk_28,44,32,12,0.2727272727272727
random_topk_29,44,32,12,0.2727272727272727
random_topk_3,44,32,12,0.2727272727272727
random_topk_30,44,34,10,0.22727272727272727
random_topk_4,44,32,12,0.2727272727272727
random_topk_5,44,34,10,0.22727272727272727
random_topk_6,44,34,10,0.22727272727272727
random_topk_7,44,33,11,0.25
random_topk_8,44,32,12,0.2727272727272727
random_topk_9,44,33,11,0.25
