comparison,primary_claim,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_no_pruning,compactness relative to full canonical schema,strict_coverage,0.9074074074074074,0.9814814814814815,-0.07407407407407407,-7.547169811320755
aqf_full_vs_no_pruning,compactness relative to full canonical schema,partial_coverage,0.9074074074074074,0.9814814814814815,-0.07407407407407407,-7.547169811320755
aqf_full_vs_no_pruning,compactness relative to full canonical schema,field_count,44.0,54.0,-10.0,-18.51851851851852
aqf_full_vs_no_pruning,compactness relative to full canonical schema,operator_count,234.0,285.0,-51.0,-17.894736842105264
aqf_full_vs_no_pruning,compactness relative to full canonical schema,final_complexity,50.0,60.0,-10.0,-16.666666666666664
aqf_full_vs_no_pruning,compactness relative to full canonical schema,weighted_operator_burden,214.5,262.25,-47.75,-18.20781696854147
aqf_full_vs_no_pruning,compactness relative to full canonical schema,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,strict_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,partial_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,operator_count,234.0,484.0,-250.0,-51.652892561983464
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,weighted_operator_burden,214.5,528.0,-313.5,-59.375
aqf_full_vs_no_operator_awareness,operator awareness reduces unnecessary controls,invalid_or_unwanted_operator_count,0.0,250.0,-250.0,-100.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,strict_coverage,0.9074074074074074,0.8888888888888888,0.0185185185185186,2.083333333333343
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,partial_coverage,0.9074074074074074,0.8962962962962963,0.011111111111111183,1.2396694214876114
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,operator_count,234.0,230.0,4.0,1.7391304347826086
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,weighted_operator_burden,214.5,209.0,5.5,2.631578947368421
aqf_full_vs_frequency_only,AQF ranking vs frequency-only ranking,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
aqf_full_vs_flattened_topk,canonical structure/context preservation,strict_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,partial_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,operator_count,234.0,234.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,weighted_operator_burden,214.5,214.5,0.0,0.0
aqf_full_vs_flattened_topk,canonical structure/context preservation,invalid_or_unwanted_operator_count,0.0,0.0,0.0,
