comparison,metric,aqf_value,baseline_value,absolute_delta,relative_delta_percent
aqf_full_vs_aqf_topk_no_threshold,strict_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,partial_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,operator_count,234.0,234.0,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,weighted_operator_burden,214.5,214.5,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,field_efficiency,0.020622895622895623,0.020622895622895623,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,operator_efficiency,0.003877809433364989,0.003877809433364989,0.0,0.0
aqf_full_vs_aqf_topk_no_threshold,redundancy_ratio,0.20454545454545456,0.20454545454545456,0.0,0.0
aqf_full_vs_flattened_topk,strict_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_flattened_topk,partial_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_flattened_topk,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_flattened_topk,operator_count,234.0,234.0,0.0,0.0
aqf_full_vs_flattened_topk,weighted_operator_burden,214.5,214.5,0.0,0.0
aqf_full_vs_flattened_topk,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_flattened_topk,field_efficiency,0.020622895622895623,0.020622895622895623,0.0,0.0
aqf_full_vs_flattened_topk,operator_efficiency,0.003877809433364989,0.003877809433364989,0.0,0.0
aqf_full_vs_flattened_topk,redundancy_ratio,0.20454545454545456,0.20454545454545456,0.0,0.0
aqf_full_vs_frequency_only,strict_coverage,0.9074074074074074,0.8888888888888888,0.0185185185185186,2.083333333333343
aqf_full_vs_frequency_only,partial_coverage,0.9074074074074074,0.8962962962962963,0.011111111111111183,1.2396694214876114
aqf_full_vs_frequency_only,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_frequency_only,operator_count,234.0,230.0,4.0,1.7391304347826086
aqf_full_vs_frequency_only,weighted_operator_burden,214.5,209.0,5.5,2.631578947368421
aqf_full_vs_frequency_only,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_frequency_only,field_efficiency,0.020622895622895623,0.0202020202020202,0.00042087542087542243,2.083333333333341
aqf_full_vs_frequency_only,operator_efficiency,0.003877809433364989,0.003864734299516908,1.3075133848081035e-05,0.3383190883190968
aqf_full_vs_frequency_only,redundancy_ratio,0.20454545454545456,0.22727272727272727,-0.022727272727272707,-9.999999999999991
aqf_full_vs_no_operator_awareness,strict_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_no_operator_awareness,partial_coverage,0.9074074074074074,0.9074074074074074,0.0,0.0
aqf_full_vs_no_operator_awareness,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_no_operator_awareness,operator_count,234.0,484.0,-250.0,-51.652892561983464
aqf_full_vs_no_operator_awareness,weighted_operator_burden,214.5,528.0,-313.5,-59.375
aqf_full_vs_no_operator_awareness,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_no_operator_awareness,field_efficiency,0.020622895622895623,0.020622895622895623,0.0,0.0
aqf_full_vs_no_operator_awareness,operator_efficiency,0.003877809433364989,0.0018748086929905113,0.002003000740374478,106.83760683760684
aqf_full_vs_no_operator_awareness,redundancy_ratio,0.20454545454545456,0.20454545454545456,0.0,0.0
aqf_full_vs_no_pruning,strict_coverage,0.9074074074074074,0.9814814814814816,-0.07407407407407418,-7.547169811320764
aqf_full_vs_no_pruning,partial_coverage,0.9074074074074074,0.9814814814814816,-0.07407407407407418,-7.547169811320764
aqf_full_vs_no_pruning,field_count,44.0,54.0,-10.0,-18.51851851851852
aqf_full_vs_no_pruning,operator_count,234.0,285.0,-51.0,-17.894736842105264
aqf_full_vs_no_pruning,weighted_operator_burden,214.5,262.25,-47.75,-18.20781696854147
aqf_full_vs_no_pruning,final_complexity,50.0,60.0,-10.0,-16.666666666666664
aqf_full_vs_no_pruning,field_efficiency,0.020622895622895623,0.018175582990397808,0.0024473126324978146,13.464837049742693
aqf_full_vs_no_pruning,operator_efficiency,0.003877809433364989,0.0034437946718648476,0.0004340147615001415,12.60280599903241
aqf_full_vs_no_pruning,redundancy_ratio,0.20454545454545456,0.25925925925925924,-0.05471380471380469,-21.103896103896094
aqf_full_vs_random_topk_1,strict_coverage,0.9074074074074074,0.6481481481481481,0.2592592592592593,40.00000000000001
aqf_full_vs_random_topk_1,partial_coverage,0.9074074074074074,0.7815402704291593,0.12586713697824814,16.105009778847606
aqf_full_vs_random_topk_1,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_1,operator_count,234.0,231.0,3.0,1.2987012987012987
aqf_full_vs_random_topk_1,weighted_operator_burden,214.5,212.5,2.0,0.9411764705882352
aqf_full_vs_random_topk_1,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_1,field_efficiency,0.020622895622895623,0.014730639730639731,0.0058922558922558915,39.99999999999999
aqf_full_vs_random_topk_1,operator_efficiency,0.003877809433364989,0.0028058361391694723,0.0010719732941955168,38.205128205128226
aqf_full_vs_random_topk_1,redundancy_ratio,0.20454545454545456,0.29545454545454547,-0.09090909090909091,-30.76923076923077
aqf_full_vs_random_topk_10,strict_coverage,0.9074074074074074,0.7222222222222222,0.18518518518518523,25.64102564102565
aqf_full_vs_random_topk_10,partial_coverage,0.9074074074074074,0.8331863609641388,0.07422104644326866,8.908096666078672
aqf_full_vs_random_topk_10,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_10,operator_count,234.0,232.0,2.0,0.8620689655172413
aqf_full_vs_random_topk_10,weighted_operator_burden,214.5,213.25,1.25,0.5861664712778429
aqf_full_vs_random_topk_10,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_10,field_efficiency,0.020622895622895623,0.016414141414141412,0.00420875420875421,25.641025641025657
aqf_full_vs_random_topk_10,operator_efficiency,0.003877809433364989,0.0031130268199233715,0.0007647826134416177,24.56717072101689
aqf_full_vs_random_topk_10,redundancy_ratio,0.20454545454545456,0.2727272727272727,-0.06818181818181815,-24.99999999999999
aqf_full_vs_random_topk_11,strict_coverage,0.9074074074074074,0.8703703703703703,0.03703703703703709,4.255319148936176
aqf_full_vs_random_topk_11,partial_coverage,0.9074074074074074,0.9218694885361552,-0.014462081128747806,-1.5687775014348586
aqf_full_vs_random_topk_11,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_11,operator_count,234.0,233.0,1.0,0.4291845493562232
aqf_full_vs_random_topk_11,weighted_operator_burden,214.5,214.75,-0.25,-0.11641443538998836
aqf_full_vs_random_topk_11,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_11,field_efficiency,0.020622895622895623,0.01978114478114478,0.0008417508417508414,4.255319148936168
aqf_full_vs_random_topk_11,operator_efficiency,0.003877809433364989,0.0037354951518041644,0.00014231428156082472,3.8097835970176526
aqf_full_vs_random_topk_11,redundancy_ratio,0.20454545454545456,0.20454545454545456,0.0,0.0
aqf_full_vs_random_topk_12,strict_coverage,0.9074074074074074,0.8148148148148148,0.09259259259259267,11.363636363636374
aqf_full_vs_random_topk_12,partial_coverage,0.9074074074074074,0.8731040564373898,0.03430335097001769,3.928896071103935
aqf_full_vs_random_topk_12,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_12,operator_count,234.0,240.0,-6.0,-2.5
aqf_full_vs_random_topk_12,weighted_operator_burden,214.5,222.75,-8.25,-3.7037037037037033
aqf_full_vs_random_topk_12,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_12,field_efficiency,0.020622895622895623,0.018518518518518517,0.002104377104377105,11.363636363636369
aqf_full_vs_random_topk_12,operator_efficiency,0.003877809433364989,0.0033950617283950617,0.00048274770496992744,14.219114219114227
aqf_full_vs_random_topk_12,redundancy_ratio,0.20454545454545456,0.2727272727272727,-0.06818181818181815,-24.99999999999999
aqf_full_vs_random_topk_13,strict_coverage,0.9074074074074074,0.8518518518518519,0.05555555555555558,6.521739130434785
aqf_full_vs_random_topk_13,partial_coverage,0.9074074074074074,0.9263080540858318,-0.018900646678424393,-2.040427759972068
aqf_full_vs_random_topk_13,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_13,operator_count,234.0,227.0,7.0,3.0837004405286343
aqf_full_vs_random_topk_13,weighted_operator_burden,214.5,206.5,8.0,3.87409200968523
aqf_full_vs_random_topk_13,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_13,field_efficiency,0.020622895622895623,0.01936026936026936,0.0012626262626262638,6.521739130434789
aqf_full_vs_random_topk_13,operator_efficiency,0.003877809433364989,0.003752651329743841,0.00012515810362114833,3.335191378669644
aqf_full_vs_random_topk_13,redundancy_ratio,0.20454545454545456,0.22727272727272727,-0.022727272727272707,-9.999999999999991
aqf_full_vs_random_topk_14,strict_coverage,0.9074074074074074,0.7592592592592593,0.14814814814814814,19.51219512195122
aqf_full_vs_random_topk_14,partial_coverage,0.9074074074074074,0.7852733686067019,0.1221340388007055,15.553060078607528
aqf_full_vs_random_topk_14,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_14,operator_count,234.0,231.0,3.0,1.2987012987012987
aqf_full_vs_random_topk_14,weighted_operator_burden,214.5,212.5,2.0,0.9411764705882352
aqf_full_vs_random_topk_14,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_14,field_efficiency,0.020622895622895623,0.017255892255892257,0.0033670033670033656,19.51219512195121
aqf_full_vs_random_topk_14,operator_efficiency,0.003877809433364989,0.0032868366201699536,0.0005909728131950356,17.979987492182616
aqf_full_vs_random_topk_14,redundancy_ratio,0.20454545454545456,0.25,-0.04545454545454544,-18.181818181818176
aqf_full_vs_random_topk_15,strict_coverage,0.9074074074074074,0.8333333333333334,0.07407407407407407,8.888888888888888
aqf_full_vs_random_topk_15,partial_coverage,0.9074074074074074,0.908583186360964,-0.0011757789535565832,-0.129407958589437
aqf_full_vs_random_topk_15,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_15,operator_count,234.0,229.0,5.0,2.1834061135371177
aqf_full_vs_random_topk_15,weighted_operator_burden,214.5,208.75,5.75,2.754491017964072
aqf_full_vs_random_topk_15,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_15,field_efficiency,0.020622895622895623,0.01893939393939394,0.0016835016835016828,8.888888888888886
aqf_full_vs_random_topk_15,operator_efficiency,0.003877809433364989,0.00363901018922853,0.00023879924413645936,6.562203228869904
aqf_full_vs_random_topk_15,redundancy_ratio,0.20454545454545456,0.29545454545454547,-0.09090909090909091,-30.76923076923077
aqf_full_vs_random_topk_16,strict_coverage,0.9074074074074074,0.7222222222222222,0.18518518518518523,25.64102564102565
aqf_full_vs_random_topk_16,partial_coverage,0.9074074074074074,0.8601998824221047,0.047207524985302785,5.48797156916348
aqf_full_vs_random_topk_16,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_16,operator_count,234.0,229.0,5.0,2.1834061135371177
aqf_full_vs_random_topk_16,weighted_operator_burden,214.5,209.25,5.25,2.5089605734767026
aqf_full_vs_random_topk_16,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_16,field_efficiency,0.020622895622895623,0.016414141414141412,0.00420875420875421,25.641025641025657
aqf_full_vs_random_topk_16,operator_efficiency,0.003877809433364989,0.003153808830664726,0.0007240006027002632,22.95638834100373
aqf_full_vs_random_topk_16,redundancy_ratio,0.20454545454545456,0.22727272727272727,-0.022727272727272707,-9.999999999999991
aqf_full_vs_random_topk_17,strict_coverage,0.9074074074074074,0.8703703703703703,0.03703703703703709,4.255319148936176
aqf_full_vs_random_topk_17,partial_coverage,0.9074074074074074,0.920546737213404,-0.013139329805996525,-1.4273397835041726
aqf_full_vs_random_topk_17,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_17,operator_count,234.0,225.0,9.0,4.0
aqf_full_vs_random_topk_17,weighted_operator_burden,214.5,205.25,9.25,4.506699147381242
aqf_full_vs_random_topk_17,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_17,field_efficiency,0.020622895622895623,0.01978114478114478,0.0008417508417508414,4.255319148936168
aqf_full_vs_random_topk_17,operator_efficiency,0.003877809433364989,0.003868312757201646,9.496676163343095e-06,0.2454991816694013
aqf_full_vs_random_topk_17,redundancy_ratio,0.20454545454545456,0.20454545454545456,0.0,0.0
aqf_full_vs_random_topk_18,strict_coverage,0.9074074074074074,0.6296296296296297,0.2777777777777778,44.11764705882353
aqf_full_vs_random_topk_18,partial_coverage,0.9074074074074074,0.8047325102880658,0.10267489711934163,12.758885195602158
aqf_full_vs_random_topk_18,field_count,44.0,44.0,0.0,0.0
aqf_full_vs_random_topk_18,operator_count,234.0,232.0,2.0,0.8620689655172413
aqf_full_vs_random_topk_18,weighted_operator_burden,214.5,213.75,0.75,0.3508771929824561
aqf_full_vs_random_topk_18,final_complexity,50.0,50.0,0.0,0.0
aqf_full_vs_random_topk_18,field_efficiency,0.020622895622895623,0.01430976430976431,0.006313131313131312,44.11764705882352
