query_name,compile_sec,execution_sec,scanned,matched,sec_per_doc,interaction_count
simple_01_state_equals_sp,5.699999746866524e-06,0.03073960000256193,104,21,0.00029528269228998956,3
simple_02_state_equals_rj,4.300000000512227e-06,0.030068399999436224,104,0,0.0002888211538447649,3
simple_03_reason_equals_quimio,3.5999983083456755e-06,0.02997229999891715,104,0,0.00028791153846004116,3
simple_04_reason_equals_radio,3.3000032999552786e-06,0.030477299998892704,104,23,0.00029278750001209957,3
simple_05_patient_age_gt_70,3.9000005926936865e-06,0.02835150000100839,104,5,0.0002723451922905112,4
simple_06_chemo_schema_contains_tmx,3.4000004234258085e-06,0.027358600000297884,104,3,0.0002628144230724362,3
simple_07_procedure_contains_radioterapia,3.6000019463244826e-06,0.025933400000212714,104,12,0.0002491105769527516,3
simple_08_problem_contains_c50_9,3.5999983083456755e-06,0.027322599999024533,104,6,0.0002624317307541227,3
simple_09_clinical_staging_equals_3,3.4000004234258085e-06,0.028969200000574347,104,7,0.0002782932692403287,3
simple_10_regional_lymph_nodes_true,3.4000004234258085e-06,0.026661399999284185,104,0,0.00025611442305699503,3
medium_01_state_sp_and_radioterapia,4.19999923906289e-06,0.02900509999744827,104,6,0.00027863557691559364,5
medium_02_state_rj_and_quimioterapia,3.6000019463244826e-06,0.02827919999981532,104,0,0.0002716394230726739,5
medium_03_age_gt_60_and_state_pr,4.300000000512227e-06,0.02941149999969639,104,0,0.00028247307692743983,6
medium_04_chemo_tmx_and_duration_gt_12,5.40000110049732e-06,0.02721009999731905,104,3,0.00026136538459608203,6
medium_05_problem_c50_9_and_stage_3,4.6000022848602384e-06,0.030445100001088576,104,0,0.0002924740384304851,5
medium_06_problem_c53_9_and_procedure_radio,4.400000761961564e-06,0.028342499997961568,104,5,0.00027227307691646274,5
medium_07_discharge_evasao_and_state_sp,4.099998477613553e-06,0.025797700000111945,104,1,0.0002478019230763423,5
medium_08_path_grade_unknown_and_problem_c50_9,3.9000005926936865e-06,0.028130300001066644,104,4,0.000270241346173022,5
medium_09_topography_c50_9_and_lymph_true,4.19999923906289e-06,0.02845059999890509,104,0,0.00027330865385430603,5
medium_10_radio_start_after_2011,3.999997716164216e-06,0.02921799999967334,104,9,0.00028067500002529973,6
hard_01_transplant_true_and_number_one,4.400000761961564e-06,0.027322400001139613,104,0,0.00026243461539147224,5
hard_02_renal_dialysis_known_ultrasound_false,4.19999923906289e-06,0.027643999997962965,104,0,0.00026555192306869477,6
hard_03_bari_followup_gt_6_bmi_gt_40,3.9000005926936865e-06,0.026276299999153707,104,1,0.00025232115387133,6
hard_04_state_sp_reason_quimio_age_gt_60,7.499998901039362e-06,0.029006400000071153,104,0,0.0002786307692216584,8
hard_05_state_rj_reason_radio_problem_c53_9,4.5000015234109014e-06,0.02925159999722382,104,0,0.0002809500000204515,7
hard_06_problem_c50_9_stage_3_lymph_true,5.599998985417187e-06,0.026911299999483163,104,0,0.00025848749999987864,7
hard_07_chemo_tmx_duration_gt_12_start_after_2011,5.300000339047983e-06,0.027994399999442976,104,0,0.0002689211538521564,8
hard_08_procedure_radio_and_irrad1_c50_9,4.0000013541430235e-06,0.028502900000603404,104,0,0.0002738009615173863,5
hard_09_discharge_date_unknown_reason_alta,4.300000000512227e-06,0.02773660000093514,104,0,0.00026644711540659325,5
hard_10_topography_c50_9_path_grade_unknown_path_date_after_2010,4.5000015234109014e-06,0.027278699999442324,104,0,0.0002620394230829194,8
